Step,Test Name,Lo.Limit,Hi.Limit,Unit,Test Vi Name,Input Parameter,Input Parameter_Socket2,Skip,Delay,Save Result,Data Type,Fail Action,Condition,Fail Analyse,Name Parameter
1,Connect Adapter to Tool,8001,8001,N/A,D:\Autotest2021\Test File\VI\Adapter-发送指令V02.vi,COM8|70 01 01 01 00 73|0:2,COM9|70 01 01 01 00 73|0:2,F,0,T,String,repeat,,,
2,Write Tool Password to Enable Mailbox,80B1,80B1,N/A,D:\Autotest2021\Test File\VI\Adapter-发送指令V02.vi,COM8|01 B1 0A 00 3B 33 33 33 33 33 33 33 33 02 8F|7:2,COM9|01 B1 0A 00 3B 33 33 33 33 33 33 33 33 02 8F|7:2,F,0,T,String,repeat,,,
3,Enable write access with default PW,8031,8031,N/A,D:\Autotest2021\Test File\VI\Adapter-发送指令V02.vi,COM8|01 31 0F A0 2A 01 07 0A 00 3B 33 33 33 33 33 33 33 33 02 F0|7:2 ,COM9|01 31 0F A0 2A 01 07 0A 00 3B 33 33 33 33 33 33 33 33 02 F0|7:2 ,F,0,T,String,repeat,,,
4,Read Response,8110 0280 0701 1A,8110 0280 0701 1A,N/A,D:\Autotest2021\Test File\VI\Adapter-发送指令V02.vi,COM8|01 10 03 A0 2A 02 00 E0|7:9,COM9|01 10 03 A0 2A 02 00 E0|7:9,F,0,T,String,repeat,,,
5,Verify Module FW,8031,8031,N/A,D:\Autotest2021\Test File\VI\Adapter-发送指令V02.vi,COM8|01 31 05 A0 2A 7F 0A 00 01 8A|7:2,COM9|01 31 05 A0 2A 7F 0A 00 01 8A|7:2,F,0,T,String,repeat,,,
6,Read Response,8110 0781 0A04 0501 0003 0130,8110 0781 0A04 0501 0003 0130,N/A,D:\Autotest2021\Test File\VI\Adapter-发送指令V02.vi,COM8|01 10 03 A0 2A 07 00 E5|7:12,COM9|01 10 03 A0 2A 07 00 E5|7:12,F,0,T,String,repeat,,,
7,Set configuration mode,8031,8031,N/A,D:\Autotest2021\Test File\VI\Adapter-发送指令V02.vi,COM8|01 31 08 A0 2A 01 0F 03 40 23 07 01 81|7:2,COM9|01 31 08 A0 2A 01 0F 03 40 23 07 01 81|7:2,F,0,T,String,repeat,,,
8,Read Response,8110 0280 0F01 22,8110 0280 0F01 22,N/A,D:\Autotest2021\Test File\VI\Adapter-发送指令V02.vi,COM8|01 10 03 A0 2A 02 00 E0|7:7,COM9|01 10 03 A0 2A 02 00 E0|7:7,F,0,T,String,repeat,,,
9,Restart Device,8031,8031,N/A,D:\Autotest2021\Test File\VI\Adapter-发送指令V02.vi,COM8|01 31 06 A0 2A 71 13 01 05 01 8C|7:2,COM9|01 31 06 A0 2A 71 13 01 05 01 8C|7:2,F,0,T,String,repeat,,,
10,Read Response,8110 0280 1301 26,8110 0280 1301 26,N/A,D:\Autotest2021\Test File\VI\Adapter-发送指令V02.vi,COM8|01 10 03 A0 2A 02 00 E0|7:7,COM9|01 10 03 A0 2A 02 00 E0|7:7,F,2000,T,String,repeat,,,
11,Enable write access with default PW,8031,8031,N/A,D:\Autotest2021\Test File\VI\Adapter-发送指令V02.vi,COM8|01 31 0F A0 2A 01 07 0A 00 3B 33 33 33 33 33 33 33 33 02 F0|7:2 ,COM9|01 31 0F A0 2A 01 07 0A 00 3B 33 33 33 33 33 33 33 33 02 F0|7:2 ,F,0,T,String,repeat,,,
12,Read Response,8110 0280 0701 1A,8110 0280 0701 1A,N/A,D:\Autotest2021\Test File\VI\Adapter-发送指令V02.vi,COM8|01 10 03 A0 2A 02 00 E0|7:7,COM9|01 10 03 A0 2A 02 00 E0|7:7,F,0,T,String,repeat,,,
13,Check configuration Mode,8031,8031,N/A,D:\Autotest2021\Test File\VI\Adapter-发送指令V02.vi,COM8|01 31 08 A0 2A 01 1A 03 40 23 01 01 86|7:2,COM9|01 31 08 A0 2A 01 1A 03 40 23 01 01 86|7:2,F,0,T,String,repeat,,,
14,Read Response,8110 0481 1A01 0701 38,8110 0481 1A01 0701 38,N/A,D:\Autotest2021\Test File\VI\Adapter-发送指令V02.vi,COM8|01 10 03 A0 2A 04 00 E2|7:9,COM9|01 10 03 A0 2A 04 00 E2|7:9,F,0,T,String,repeat,,,
15,ENDTEST,,,,,,,F,,F,,,,,
