Step,Test Name,Lo.Limit,Hi.Limit,Unit,Test Vi Name,Input Parameter,Input Parameter_Socket2,Skip,Delay,Save Result,Data Type,Fail Action,Condition,Fail Analyse,Name Parameter
1,1,1,22222222,N/A,D:\iron\labview_vi\Demo\labview_demo\data_docu\csv_control_04.vi,22222222,COM9|70 01 01 01 00 73|0:2,F,0,T,String,repeat,,,
2,2,2,80B1,N/A,D:\iron\labview_vi\Demo\labview_demo\data_docu\csv_control_04.vi,COM8|01 B1 0A 00 3B 33 33 33 33 33 33 33 33 02 8F|7:2,COM9|01 B1 0A 00 3B 33 33 33 33 33 33 33 33 02 8F|7:2,F,0,T,String,repeat,,,
3,3,8031,8031,N/A,D:\iron\labview_vi\Demo\labview_demo\data_docu\csv_control_04.vi,COM8|01 31 0F A0 2A 01 07 0A 00 3B 33 33 33 33 33 33 33 33 02 F0|7:2 ,COM9|01 31 0F A0 2A 01 07 0A 00 3B 33 33 33 33 33 33 33 33 02 F0|7:2 ,F,0,T,String,repeat,,,
4,4,8110 0280 0701 1A,8110 0280 0701 1A,N/A,D:\iron\labview_vi\Demo\labview_demo\data_docu\csv_control_04.vi,COM8|01 10 03 A0 2A 02 00 E0|7:9,COM9|01 10 03 A0 2A 02 00 E0|7:9,F,0,T,String,repeat,,,
5,5,8031,8031,N/A,D:\iron\labview_vi\Demo\labview_demo\data_docu\csv_control_04.vi,COM8|01 31 05 A0 2A 7F 0A 00 01 8A|7:2,COM9|01 31 05 A0 2A 7F 0A 00 01 8A|7:2,F,0,T,String,repeat,,,
6,6,22222222,22222222,N/A,D:\iron\labview_vi\Demo\labview_demo\data_docu\csv_control_04.vi,22222222,COM9|01 10 03 A0 2A 07 00 E5|7:12,F,0,T,String,repeat,,,
7,7,8031,8031,N/A,D:\iron\labview_vi\Demo\labview_demo\data_docu\csv_control_04.vi,COM8|01 31 08 A0 2A 01 0F 03 40 23 07 01 81|7:2,COM9|01 31 08 A0 2A 01 0F 03 40 23 07 01 81|7:2,F,0,T,String,repeat,,,
8,8,8110 0280 0F01 22,8110 0280 0F01 22,N/A,D:\iron\labview_vi\Demo\labview_demo\data_docu\csv_control_04.vi,COM8|01 10 03 A0 2A 02 00 E0|7:7,COM9|01 10 03 A0 2A 02 00 E0|7:7,F,0,T,String,repeat,,,
9,9,22222222,22222222,N/A,D:\iron\labview_vi\Demo\labview_demo\data_docu\csv_control_04.vi,22222222,COM9|01 31 06 A0 2A 71 13 01 05 01 8C|7:2,F,0,T,String,repeat,,,
10,10,8110 0280 1301 26,8110 0280 1301 26,N/A,D:\iron\labview_vi\Demo\labview_demo\data_docu\csv_control_04.vi,COM8|01 10 03 A0 2A 02 00 E0|7:7,COM9|01 10 03 A0 2A 02 00 E0|7:7,F,2000,T,String,repeat,,,
11,11,8031,8031,N/A,D:\iron\labview_vi\Demo\labview_demo\data_docu\csv_control_04.vi,COM8|01 31 0F A0 2A 01 07 0A 00 3B 33 33 33 33 33 33 33 33 02 F0|7:2 ,COM9|01 31 0F A0 2A 01 07 0A 00 3B 33 33 33 33 33 33 33 33 02 F0|7:2 ,F,0,T,String,repeat,,,
12,12,8110 0280 0701 1A,8110 0280 0701 1A,N/A,D:\iron\labview_vi\Demo\labview_demo\data_docu\csv_control_04.vi,COM8|01 10 03 A0 2A 02 00 E0|7:7,COM9|01 10 03 A0 2A 02 00 E0|7:7,F,0,T,String,repeat,,,
13,13,8031,8031,N/A,D:\iron\labview_vi\Demo\labview_demo\data_docu\csv_control_04.vi,COM8|01 31 08 A0 2A 01 1A 03 40 23 01 01 86|7:2,COM9|01 31 08 A0 2A 01 1A 03 40 23 01 01 86|7:2,F,0,T,String,repeat,,,
14,14,8110 0481 1A01 0701 38,8110 0481 1A01 0701 38,N/A,D:\iron\labview_vi\Demo\labview_demo\data_docu\csv_control_04.vi,COM8|01 10 03 A0 2A 04 00 E2|7:9,COM9|01 10 03 A0 2A 04 00 E2|7:9,F,0,T,String,repeat,,,
15,ENDTEST,,,,,,,F,,F,,,,,
